id,title,type,priority,epic,persona,user_story,labels,acceptance_criteria
US-01,Importer une photo de l'appareil,Story,Must,EPIC-1,Propriétaire d'appareil en panne,"En tant que propriétaire d'un appareil cassé, je veux importer une photo de mon appareil, afin de contextualiser ma demande de passeport de réparation.","frontend;media","Given je suis sur l'accueil When j'importe JPEG/PNG/WEBP Then un aperçu s'affiche | Given une photo est sélectionnée When je clique Changer Then je peux en choisir une autre | Given upload échoue Then message d'erreur explicite | Given API indisponible Then message API indisponible"
US-02,Confirmer la catégorie d'appareil,Story,Must,EPIC-1,Propriétaire d'appareil en panne,"En tant que propriétaire, je veux indiquer moi-même la catégorie de mon appareil, afin d'éviter une mauvaise classification automatique.","frontend;diagnosis","Given une photo importée Then choix Lave-linge/Lave-vaisselle/Four/Autre | Given catégorie supportée Then symptômes chargés | Given aucune catégorie Then bouton désactivé"
US-03,Sélectionner le type de panne,Story,Must,EPIC-1,Propriétaire d'appareil en panne,"En tant que propriétaire, je veux choisir le symptôme le plus proche de ma panne, afin d'obtenir une estimation de coût plus réaliste.","frontend;diagnosis;pricing","Given catégorie supportée Then liste de pannes affichée | Given aucune panne Then bouton désactivé | Given panne sélectionnée Then issueCode envoyé à l'API"
US-04,Déclarer un appareil hors périmètre,Story,Must,EPIC-1,Propriétaire d'appareil en panne,"En tant que propriétaire, je veux pouvoir indiquer que mon appareil n'est pas dans le périmètre MVP, afin de ne pas recevoir une estimation trompeuse.","frontend;diagnosis","Given Autre Then message hors périmètre | Given Autre Then résultat sans prix ni réparateurs | Given hors scope Then pas de verdict catégorie supportée"
US-05,Obtenir une estimation de coût,Story,Must,EPIC-2,Propriétaire d'appareil en panne,"En tant que propriétaire, je veux voir une fourchette de réparation et un ordre de grandeur de remplacement, afin de décider rapidement si la réparation est rentable.","diagnosis;pricing","Given catégorie+panne Then repairLow/repairHigh/replacementApprox en EUR | Given pannes différentes Then fourchettes peuvent différer | Given panne simple Then fourchette plus basse qu'une carte électronique"
US-06,Voir le verdict réparer / à arbitrer / remplacer,Story,Must,EPIC-2,Propriétaire d'appareil en panne,"En tant que propriétaire, je veux un verdict simple, afin de savoir quoi faire sans lire un devis technique.","diagnosis;frontend","Given estimation Then verdict Réparer/À arbitrer/Remplacer | Given ratio >70% Then Remplacer | Given ratio ≤70% Then verdict catalogue conservé"
US-07,Afficher le disclaimer d'estimation,Story,Must,EPIC-2,Propriétaire d'appareil en panne,"En tant que propriétaire, je veux être informé que l'estimation n'est pas un devis, afin de ne pas confondre l'outil avec un engagement commercial.","diagnosis;frontend;legal","Given diagnostic Then disclaimer estimation indicative | Given disclaimer Then précise qu'un réparateur confirmera sur place"
US-08,Voir les réparateurs de la zone test,Story,Must,EPIC-3,Propriétaire d'appareil en panne,"En tant que propriétaire, je veux voir une liste de réparateurs locaux pour ma catégorie, afin de savoir qui contacter.","repairer;frontend","Given diagnostic supporté Then réparateurs Lyon filtrés | Given liste vide Then message aucun réparateur | Given hors périmètre Then section absente"
US-09,Contacter un réparateur en un clic,Story,Must,EPIC-3,Propriétaire d'appareil en panne,"En tant que propriétaire, je veux appeler écrire ou ouvrir WhatsApp depuis la fiche, afin de passer à l'action sans créer de compte.","repairer;frontend","Given téléphone Then lien tel: | Given email Then mailto: | Given WhatsApp Then wa.me nouvel onglet | Given MVP Then pas de réservation/paiement/marketplace"
US-10,Consulter mon passeport de réparation,Story,Must,EPIC-4,Propriétaire d'appareil en panne,"En tant que propriétaire, je veux un écran résultat clair (photo appareil panne coûts verdict), afin de comprendre la décision en un coup d'œil.","frontend;ux","Given diagnostic réussi Then photo/appareil/symptôme/coûts/verdict | Given /resultat sans session Then redirection accueil | Given confirmation utilisateur Then libellé confirmé affiché"
US-11,Relancer une nouvelle estimation,Story,Must,EPIC-4,Propriétaire d'appareil en panne,"En tant que propriétaire, je veux recommencer avec une nouvelle photo, afin de traiter un autre appareil ou corriger mon choix.","frontend","Given résultat When Nouvelle photo Then session effacée et retour accueil | Given retour accueil Then pas de pré-sélection bloquante"
